experiment_id,label,publication,platform,treatment_type,table_scope,time_course,background_factors,genes,classification,notes
10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,Tolonen N-deprivation,Tolonen 2006,MICROARRAY,nitrogen,all_detected_genes,True,"axenic, light",1697,reference,N-deprivation time course 0-48h
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,Read N-depleted,Read 2017,RNASEQ,nitrogen,filtered_subset,True,"axenic, light",857,reference,Top 50% by expression level. 857 vs 1697 genes.
10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,Tolonen cyanate,Tolonen 2006,MICROARRAY,nitrogen,all_detected_genes,False,"axenic, light",1697,negative_control,N-sufficient (alternative N source). Same platform as reference.
10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,Tolonen urea,Tolonen 2006,MICROARRAY,nitrogen,all_detected_genes,False,"axenic, light",1697,negative_control,N-sufficient (alternative N source). Same platform as reference.
10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,Aharonovich coculture,Aharonovich 2016,RNASEQ,coculture,all_detected_genes,False,light,1714,negative_control,Coculture without N-limitation. Tests coculture effect vs N effect.
10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,High white light,Steglich 2006,MICROARRAY,light,filtered_subset,False,axenic,198,negative_control,Non-N stress. Only 198 genes (filtered_subset). Tests N-specificity.
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,Weissberg RNA-seq axenic,Weissberg 2025,RNASEQ,nitrogen,all_detected_genes,False,"axenic, light",1849,target,Single timepoint (starvation vs exponential). time_course=False.
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Weissberg RNA-seq coculture,Weissberg 2025,RNASEQ,nitrogen,all_detected_genes,True,"coculture, light",1849,target,"Time course: day 18, 31, 60, 89, days 60+89."
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Weissberg proteomics axenic,Weissberg 2025,PROTEOMICS,nitrogen,all_detected_genes,True,"axenic, light",1424,target,"Time course: day 14, 31, 89."
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Weissberg proteomics coculture,Weissberg 2025,PROTEOMICS,nitrogen,all_detected_genes,True,"coculture, light",1424,target,"Time course: day 18, 31, 60, 89, days 60+89."
