category,omics,timepoint,experiment_id,background_used,cyanorak_final,kegg_final,cyanorak_up,kegg_up,cyanorak_down,kegg_down,agreement_final,agreement_up,agreement_down
axenic_dying,Prot,day 14,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,table_scope,0.7737651588607938,0.8110656250101455,1.7532707052281056,3.139674580397364,0.381962940313869,0.3453438339327016,same_sign,same_sign,both_weak
axenic_dead,Prot,day 31,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,table_scope,0.4634862927886653,0.6268713308665338,0.0,0.0,0.6488808099041314,0.7522455970398406,same_sign,both_weak,same_sign
axenic_dead,Prot,day 89,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,table_scope,0.4778564821569894,0.5097372228917768,0.0,0.0,0.6689990750197852,0.6116846674701322,same_sign,both_weak,same_sign
coculture,Prot,day 18,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,table_scope,1.941847633642298,1.2699350707014478,5.7459785124099145,5.43036485237694,0.4201952821352513,0.4378491143663494,same_sign,same_sign,both_weak
coculture,Prot,day 31,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,table_scope,2.857142857142857,2.820309621724968,5.0,2.8541812266101907,2.0,2.813535300747924,same_sign,same_sign,same_sign
coculture,Prot,day 60,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,table_scope,1.194868550381463,0.62843943057734,4.50616995710767,2.2739040542246824,-0.1296520123090204,0.2993465058478715,same_sign,same_sign,both_weak
coculture,Prot,day 89,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,table_scope,0.9996907413876934,0.7811804203433915,3.498917594856927,2.048047559838242,0.0,0.5278069924444213,same_sign,same_sign,same_sign
coculture,Prot,days 60+89,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,table_scope,1.4159979192168843,0.7263345789002367,4.955992717259095,2.1022575526879312,0.0,0.4511499841426977,same_sign,same_sign,both_weak
axenic_dying,RNA,day 14,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,table_scope,3.824258936628717,3.683519087146783,0.909829952913902,0.0,4.990030530114643,4.42022290457614,same_sign,same_sign,same_sign
coculture,RNA,day 18,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,table_scope,0.0,0.0,0.0,0.0,0.0,0.0,both_weak,both_weak,both_weak
coculture,RNA,day 31,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,table_scope,0.0,0.250460389821665,0.0,0.0,0.0,0.300552467785998,both_weak,both_weak,both_weak
coculture,RNA,day 60,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,table_scope,0.5120990747443034,1.3729450220045027,0.0,0.0,0.7169387046420248,1.6475340264054033,same_sign,both_weak,same_sign
coculture,RNA,day 89,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,table_scope,0.0,0.0,0.0,0.0,0.0,0.0,both_weak,both_weak,both_weak
coculture,RNA,days 60+89,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,table_scope,0.0,0.0,0.0,0.0,0.0,0.0,both_weak,both_weak,both_weak
