organism_name,condition,timepoint_label,timepoint_hours,tp_growth_phase,rnaseq_experiment_id,rnaseq_tp_gene_count,proteomics_experiment_id,proteomics_tp_gene_count
Alteromonas macleodii HOT1A3,axenic,day 18,432.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,2226.0
Alteromonas macleodii HOT1A3,axenic,day 31,744.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,2226.0
Alteromonas macleodii HOT1A3,coculture,day 18,432.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,2226.0
Alteromonas macleodii HOT1A3,coculture,day 31,744.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,2226.0
Alteromonas macleodii HOT1A3,coculture,day 60,1440.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,2226.0
Alteromonas macleodii HOT1A3,coculture,day 89,2136.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,3950.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,2226.0
Prochlorococcus MED4,axenic,day 14,336.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,1849.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,1424.0
Prochlorococcus MED4,coculture,day 18,432.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,1849.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,1424.0
Prochlorococcus MED4,coculture,day 31,744.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,1849.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,1424.0
Prochlorococcus MED4,coculture,day 60,1440.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,1849.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,1424.0
Prochlorococcus MED4,coculture,day 89,2136.0,nutrient_limited,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,1849.0,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,1424.0
